"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DK1","Actual Total Load [MW] - BZN|DK1"
"13.04.2022 00:00 - 13.04.2022 01:00","2183","2184"
"13.04.2022 01:00 - 13.04.2022 02:00","2125","2124"
"13.04.2022 02:00 - 13.04.2022 03:00","2084","2089"
"13.04.2022 03:00 - 13.04.2022 04:00","2164","2161"
"13.04.2022 04:00 - 13.04.2022 05:00","2191","2217"
"13.04.2022 05:00 - 13.04.2022 06:00","2337","2304"
"13.04.2022 06:00 - 13.04.2022 07:00","2544","2574"
"13.04.2022 07:00 - 13.04.2022 08:00","2830","2847"
"13.04.2022 08:00 - 13.04.2022 09:00","2888","2842"
"13.04.2022 09:00 - 13.04.2022 10:00","2851","2804"
"13.04.2022 10:00 - 13.04.2022 11:00","2876","2814"
"13.04.2022 11:00 - 13.04.2022 12:00","2852","2798"
"13.04.2022 12:00 - 13.04.2022 13:00","2679","2670"
"13.04.2022 13:00 - 13.04.2022 14:00","2759","-"
"13.04.2022 14:00 - 13.04.2022 15:00","2730","-"
"13.04.2022 15:00 - 13.04.2022 16:00","2619","-"
"13.04.2022 16:00 - 13.04.2022 17:00","2569","-"
"13.04.2022 17:00 - 13.04.2022 18:00","2644","-"
"13.04.2022 18:00 - 13.04.2022 19:00","2565","-"
"13.04.2022 19:00 - 13.04.2022 20:00","2370","-"
"13.04.2022 20:00 - 13.04.2022 21:00","2320","-"
"13.04.2022 21:00 - 13.04.2022 22:00","2305","-"
"13.04.2022 22:00 - 13.04.2022 23:00","2180","-"
"13.04.2022 23:00 - 14.04.2022 00:00","2036","-"
